2018 Rank,City Name,State Name,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (sq km),2016 Population Density (per sq mi),2016 Population Density (per sq km),Location,Mayor,Time Zone (Summer),Area Codes
1,New York City,New York,8398748,8175133,+2.74,301.5  ,780.9 ,28317 ,10933, ﻿40.6635°N 73.9387°W﻿ ,bill de blasio ,utc−04:00 (edt),212/646/332 718/347/929 917
2,Los Angeles,California,3990456,3792621,+5.22,468.7  ,1213.9 ,8484 ,3276, ﻿34.0194°N 118.4108°W﻿ ,eric garcetti ,utc−07:00 (pdt),213/323 310/424 747/818
3,Chicago,Illinois,2705994,2695598,+0.39,227.3  ,588.7 ,11900 ,4600, ﻿41.8376°N 87.6818°W﻿ ,lori lightfoot ,utc−05:00 (central),312/872 and 773/872
4,Houston,Texas,2325502,2100263,+10.72,637.5  ,1651.1 ,3613 ,1395, ﻿29.7866°N 95.3909°W﻿ ,sylvester turner ,utc−5 (cdt),713 281 832 346
5,Phoenix,Arizona,1660272,1445632,+14.85,517.6  ,1340.6 ,3120 ,1200, ﻿33.5722°N 112.0901°W﻿ ,kate gallego,nan,"east: 480
central: 602
west: 623"
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81,134.2  ,347.6 ,11683 ,4511, ﻿40.0094°N 75.1333°W﻿ ,jim kenney ,utc-4 (edt),215 267 445
7,San Antonio,Texas,1532233,1327407,+15.43,461.0  ,1194.0 ,3238 ,1250, ﻿29.4724°N 98.5251°W﻿ ,ron nirenberg ,utc−5 (cdt),210 (majority) 830 (portions) 726
8,San Diego,California,1425976,1307402,+9.07,325.2  ,842.3 ,4325 ,1670, ﻿32.8153°N 117.1350°W﻿ ,kevin faulconer ,utc−7 (pdt),619 858
9,Dallas,Texas,1345047,1197816,+12.29,340.9  ,882.9 ,3866 ,1493, ﻿32.7933°N 96.7665°W﻿ ,mike rawlings ,utc−5 (central),214 469 972 682 817[4][5]
10,San Jose,California,1030119,945942,+8.90,177.5  ,459.7 ,5777 ,2231, ﻿37.2967°N 121.8189°W﻿ ,sam liccardo[3] ,utc−7 (pacific daylight time),408/669
11,Austin,Texas,964254,790390,+22.00,312.7  ,809.9 ,3031 ,1170, ﻿30.3039°N 97.7544°W﻿ ,steve adler ,utc−5 (cdt),512 & 737
12,Jacksonville,Florida,903889,821784,+9.99,747.4  ,1935.8 ,1178 ,455, ﻿30.3369°N 81.6616°W﻿ ,lenny curry ,utc−4 (edt),904
13,Fort Worth,Texas,895008,741206,+20.75,342.9  ,888.1 ,2491 ,962, ﻿32.7815°N 97.3467°W﻿ ,betsy price ,utc−5 (cdt),682 and 817
14,Columbus,Ohio,892533,787033,+13.40,218.5  ,565.9 ,3936 ,1520, ﻿39.9852°N 82.9848°W﻿ ,andrew j. ginther ,utc-4 (edt),614 380 740
15,San Francisco,California,883305,805235,+9.70,46.9  ,121.5 ,18569 ,7170, ﻿37.7272°N 123.0322°W﻿ ,london breed ,utc−7 (pacific daylight time),415/628[16]
16,Charlotte,North Carolina,872498,731424,+19.29,305.4  ,791.0 ,2757 ,1064, ﻿35.2078°N 80.8310°W﻿ ,vi lyles ,utc−4 (edt),704 980
17,Indianapolis,Indiana,867125,820445,+5.69,361.5  ,936.3 ,2366 ,914, ﻿39.7767°N 86.1459°W﻿ ,joe hogsett ,utc−4 (edt),317 and 463
18,Seattle,Washington,744955,608660,+22.39,83.8  ,217.0 ,8405 ,3245, ﻿47.6205°N 122.3509°W﻿ ,jenny durkan ,utc−7 (pdt),206
19,Denver,Colorado,716492,600158,+19.38,153.3  ,397.0 ,4521 ,1746, ﻿39.7619°N 104.8811°W﻿ ,michael hancock ,utc−6 (mdt),303 and 720
20,Washington D.C.,District of Columbia,702455,601723,+16.74,61.1  ,158.2 ,11148 ,4304, ﻿38.9041°N 77.0172°W﻿ ,muriel bowser ,utc−4 (edt),202
21,Boston,Massachusetts,694583,617594,+12.47,48.3  ,125.1 ,13938 ,5381, ﻿42.3320°N 71.0202°W﻿ ,marty walsh ,utc−4 (edt),617 and 857
22,El Paso,Texas,682669,649121,+5.17,256.8  ,665.1 ,2660 ,1030, ﻿31.8484°N 106.4270°W﻿ ,nan,utc−6 (mdt),915
23,Detroit,Michigan,672662,713777,−5.76,138.8  ,359.5 ,4847 ,1871, ﻿42.3830°N 83.1022°W﻿ ,mike duggan ,utc−4 (edt),313
24,Nashville,Tennessee,669053,601222,+11.28,475.9  ,1232.6 ,1388 ,536, ﻿36.1718°N 86.7850°W﻿ ,david briley[1] ,utc−5 (cdt),615 and 629
25,Portland,Oregon,653115,583776,+11.88,133.5  ,345.8 ,4793 ,1851, ﻿45.5370°N 122.6500°W﻿ ,ted wheeler[2] ,utc−07:00 (pdt),503 and 971
26,Memphis,Tennessee,650618,646889,+0.58,317.4  ,822.1 ,2056 ,794, ﻿35.1028°N 89.9774°W﻿ ,jim strickland ,utc−5 (cdt),901
27,Oklahoma City,Oklahoma,649021,579999,+11.90,606.3  ,1570.3 ,1053 ,407, ﻿35.4671°N 97.5137°W﻿ ,david holt ,utc−5 (cdt),405
28,Las Vegas,Nevada,644644,583756,+10.43,134.4  ,348.1 ,4709 ,1818, ﻿36.2292°N 115.2601°W﻿ ,carolyn goodman ,utc−7 (pdt),nan
29,Louisville,Kentucky,620118,597337,+3.81,263.5  ,682.5 ,2339 ,903, ﻿38.1654°N 85.6474°W﻿ ,greg fischer ,utc-4 (edt),502
30,Baltimore,Maryland,602495,620961,−2.97,80.9  ,209.5 ,7598 ,2934, ﻿39.3000°N 76.6105°W﻿ ,jack young ,utc−4 (edt),410 443 and 667
31,Milwaukee,Wisconsin,592025,594833,−0.47,96.2  ,249.2 ,6186 ,2388, ﻿43.0633°N 87.9667°W﻿ ,tom barrett ,utc−5 (cdt),414
32,Albuquerque,New Mexico,560218,545852,+2.63,188.2  ,487.4 ,2972 ,1147, ﻿35.1056°N 106.6474°W﻿ ,tim keller ,utc−6 (mdt),505 575
33,Tucson,Arizona,545975,520116,+4.97,230.8  ,597.8 ,2299 ,888, ﻿32.1531°N 110.8706°W﻿ ,jonathan rothschild ,nan,520
34,Fresno,California,530093,494665,+7.16,114.4  ,296.3 ,4563 ,1762, ﻿36.7836°N 119.7934°W﻿ ,nan,nan,nan
35,Mesa,Arizona,508958,439041,+15.92,137.9  ,357.2 ,3514 ,1357, ﻿33.4019°N 111.7174°W﻿ ,john giles ,nan,480 602
36,Sacramento,California,508529,466488,+9.01,97.9  ,253.6 ,5059 ,1953, ﻿38.5666°N 121.4686°W﻿ ,darrell steinberg ,utc−7 (pdt),916 and 279
37,Atlanta,Georgia,498044,420003,+18.58,133.5  ,345.8 ,3539 ,1366, ﻿33.7629°N 84.4227°W﻿ ,keisha lance bottoms ,utc−4 (edt),404/678/470/770
38,Kansas City,Missouri,491918,459787,+6.99,315.0  ,815.8 ,1528 ,590, ﻿39.1251°N 94.5510°W﻿ ,sly james ,utc– 05:00 (cdt),816 975 (planned)
39,Colorado Springs,Colorado,472688,416427,+13.51,195.6  ,506.6 ,2378 ,918, ﻿38.8673°N 104.7607°W﻿ ,john suthers,utc−6 (mdt),719
40,Miami,Florida,470914,399457,+17.89,36.0  ,93.2 ,12599 ,4865, ﻿25.7752°N 80.2086°W﻿ ,francis x. suarez ,utc−4 (edt),305 and 786
41,Raleigh,North Carolina,469298,403892,+16.19,145.1  ,375.8 ,3163 ,1221, ﻿35.8306°N 78.6418°W﻿ ,nancy mcfarlane ,utc−04:00 (edt),919 984
42,Omaha,Nebraska,468262,408958,+14.50,133.2  ,345.0 ,3356 ,1296, ﻿41.2644°N 96.0451°W﻿ ,jean stothert ,utc−05:00 (cdt),402 531
43,Long Beach,California,467354,462257,+1.10,50.3  ,130.3 ,9347 ,3609, ﻿33.8092°N 118.1553°W﻿ ,robert garcia ,utc−07:00 (pdt),562
44,Virginia Beach,Virginia,450189,437994,+2.78,244.7  ,633.8 ,1850 ,710, ﻿36.7800°N 76.0252°W﻿ ,bobby dyer ,utc−4 (edt),nan
45,Oakland,California,429082,390724,+9.82,55.9  ,144.8 ,7514 ,2901, ﻿37.7698°N 122.2257°W﻿ ,libby schaaf ,utc−07:00 (pdt),510
46,Minneapolis,Minnesota,425403,382578,+11.19,54.0  ,139.9 ,7660 ,2960, ﻿44.9633°N 93.2683°W﻿ ,jacob frey ,utc–5 (cdt),612
47,Tulsa,Oklahoma,400669,391906,+2.24,196.8  ,509.7 ,2048 ,791, ﻿36.1279°N 95.9023°W﻿ ,g. t. bynum ,utc−5 (cdt),539/918
48,Arlington,Texas,398112,365438,+8.94,95.8  ,248.1 ,4100 ,1600, ﻿32.7007°N 97.1247°W﻿ ,jeff williams ,utc−5 (cdt),817 214 972
49,Tampa,Florida,392890,335709,+17.03,113.4  ,293.7 ,3326 ,1284, ﻿27.9701°N 82.4797°W﻿ ,nan,nan,nan
50,New Orleans,Louisiana,391006,343829,+13.72,169.4  ,438.7 ,2311 ,892, ﻿30.0534°N 89.9345°W﻿ ,latoya cantrell ,utc−5 (cdt),nan
51,Wichita,Kansas,389255,382368,+1.80,160.4  ,415.4 ,2431 ,939, ﻿37.6907°N 97.3459°W﻿ ,jeff longwell ,utc−5 (cdt),316
52,Cleveland,Ohio,383793,396815,−3.28,77.7  ,201.2 ,4965 ,1917, ﻿41.4785°N 81.6794°W﻿ ,frank g. jackson ,utc−4 (edt),216
53,Bakersfield,California,383579,347483,+10.39,148.8  ,385.4 ,2529 ,976, ﻿35.3212°N 119.0183°W﻿ ,karen k. goh ,utc−7 (pdt),661
54,Aurora,Colorado,374114,325078,+15.08,153.5  ,397.6 ,2356 ,910, ﻿39.6880°N 104.6897°W﻿ ,bob legare[4],utc−6 (mdt),both 303 and 720
55,Anaheim,California,352005,336265,+4.68,50.0  ,129.5 ,7021 ,2711, ﻿33.8555°N 117.7601°W﻿ ,harry sidhu[2] ,utc−7 (pdt),657/714
56,Honolulu,Hawaii,347397,337256,+3.01,60.5  ,156.7 ,5815 ,2245, ﻿21.3243°N 157.8476°W﻿ ,kirk caldwell ,nan,808
57,Santa Ana,California,332725,324528,+2.53,27.1  ,70.2 ,12333 ,4762, ﻿33.7363°N 117.8830°W﻿ ,miguel a. pulido[3],utc−7 (pdt),657/714 949
58,Riverside,California,330063,303871,+8.62,81.2  ,210.3 ,3999 ,1544, ﻿33.9381°N 117.3932°W﻿ ,nan,utc−7 (pdt),951
59,Corpus Christi,Texas,326554,305215,+6.99,174.6  ,452.2 ,1866 ,720, ﻿27.7543°N 97.1734°W﻿ ,nan,utc−5 (cdt),361
60,Lexington,Kentucky,323780,295803,+9.46,283.6  ,734.5 ,1123 ,434, ﻿38.0407°N 84.4583°W﻿ ,linda gorton,utc−4 (edt),859
61,Stockton,California,311178,291707,+6.67,61.7  ,159.8 ,4977 ,1922, ﻿37.9763°N 121.3133°W﻿ ,michael tubbs ,utc−7 (pdt),209
62,Henderson,Nevada,310390,257729,+20.43,104.7  ,271.2 ,2798 ,1080, ﻿36.0097°N 115.0357°W﻿ ,debra march ,utc−7 (pdt),702 and 725
63,Saint Paul,Minnesota,307695,285068,+7.94,52.0  ,134.7 ,5815 ,2245, ﻿44.9489°N 93.1041°W﻿ ,melvin carter ,utc−5 (cdt),651
64,St. Louis,Missouri,302838,319294,−5.15,62.0  ,160.6 ,5023 ,1939, ﻿38.6357°N 90.2446°W﻿ ,lyda krewson ,utc−5 (cdt),314
65,Cincinnati,Ohio,302605,296943,+1.91,77.4  ,200.5 ,3860 ,1490, ﻿39.1402°N 84.5058°W﻿ ,john cranley ,utc−4 (edt),"513 
937"
66,Pittsburgh,Pennsylvania,301048,305704,−1.52,55.4  ,143.5 ,5481 ,2116, ﻿40.4398°N 79.9766°W﻿ ,bill peduto ,utc−4 (eastern daylight time),412 724 878
67,Greensboro,North Carolina,294722,269666,+9.29,128.3  ,332.3 ,2237 ,864, ﻿36.0951°N 79.8270°W﻿ ,nancy b. vaughan ,utc−4 (edt),336
68,Anchorage,Alaska,291538,291826,−0.10,1706.6  ,4420.1 ,175 ,68, ﻿61.1743°N 149.2843°W﻿ ,ethan berkowitz ,utc-8 (akdt),907
69,Plano,Texas,288061,259841,+10.86,71.7  ,185.7 ,3990 ,1540, ﻿33.0508°N 96.7479°W﻿ ,harry larosiliere ,utc−5 (cdt),214 469 972
70,Lincoln,Nebraska,287401,258379,+11.23,92.1  ,238.5 ,3044 ,1175, ﻿40.8105°N 96.6803°W﻿ ,leirion gaylor baird ,utc-5 (cdt),402 531
71,Orlando,Florida,285713,238300,+19.90,105.2  ,272.5 ,2635 ,1017, ﻿28.4166°N 81.2736°W﻿ ,buddy dyer ,utc−4 (edt),321 407
72,Irvine,California,282572,212375,+33.05,65.6  ,169.9 ,4057 ,1566, ﻿33.6784°N 117.7713°W﻿ ,christina l. shea,utc−7 (pdt),949 657/714
73,Newark,New Jersey,282090,277140,+1.79,24.1  ,62.4 ,11691 ,4514, ﻿40.7242°N 74.1726°W﻿ ,ras baraka ,utc−4 (eastern (edt)),862/973[21]
74,Toledo,Ohio,274975,287208,−4.26,80.7  ,209.0 ,3451 ,1332, ﻿41.6641°N 83.5819°W﻿ ,wade kapszukiewicz ,utc−4 (edt),419 567
75,Durham,North Carolina,274291,228330,+20.13,109.8  ,284.4 ,2395 ,925, ﻿35.9811°N 78.9029°W﻿ ,steve schewel,utc−4 (edt),919
76,Chula Vista,California,271651,243916,+11.37,49.6  ,128.5 ,5387 ,2080, ﻿32.6277°N 117.0152°W﻿ ,nan,utc-7 (pdt),619
77,Fort Wayne,Indiana,267633,253691,+5.50,110.6  ,286.5 ,2391 ,923, ﻿41.0882°N 85.1439°W﻿ ,tom henry ,utc−04:00 (edt),260
78,Jersey City,New Jersey,265549,247597,+7.25,14.8  ,38.3 ,17848 ,6891, ﻿40.7114°N 74.0648°W﻿ ,steven fulop,utc−4 (eastern (edt)),201[25]
79,St. Petersburg,Florida,265098,244769,+8.31,61.8  ,160.1 ,4223 ,1631, ﻿27.7620°N 82.6441°W﻿ ,nan,nan,nan
80,Laredo,Texas,261639,236091,+10.82,101.1  ,261.8 ,2544 ,982, ﻿27.5604°N 99.4892°W﻿ ,pete saenz ,utc−5 (cst),956
81,Madison,Wisconsin,258054,233209,+10.65,77.0  ,199.4 ,3280 ,1270, ﻿43.0878°N 89.4299°W﻿ ,satya rhodes-conway ,utc−5 (cdt),nan
82,Chandler,Arizona,257165,236123,+8.91,64.9  ,168.1 ,3813 ,1472, ﻿33.2829°N 111.8549°W﻿ ,kevin hartke,nan,480
83,Buffalo,New York,256304,261310,−1.92,40.4  ,104.6 ,6359 ,2455, ﻿42.8925°N 78.8597°W﻿ ,byron brown ,utc−04:00 (edt),716
84,Lubbock,Texas,255885,229573,+11.46,124.6  ,322.7 ,2027 ,783, ﻿33.5656°N 101.8867°W﻿ ,dan pope ,utc−5 (cdt),806
85,Scottsdale,Arizona,255310,217385,+17.45,183.9  ,476.3 ,1341 ,518, ﻿33.6843°N 111.8611°W﻿ ,nan,nan,nan
86,Reno,Nevada,250998,225221,+11.45,107.3  ,277.9 ,2286 ,883, ﻿39.5491°N 119.8499°W﻿ ,hillary schieve ,utc−7 (pdt),775
87,Glendale,Arizona,250702,226721,+10.58,59.1  ,153.1 ,4161 ,1607, ﻿33.5331°N 112.1899°W﻿ ,jerry weiers ,nan,623 and 602
88,Gilbert,Arizona,248279,208453,+19.11,68.0  ,176.1 ,3487 ,1346, ﻿33.3103°N 111.7431°W﻿ ,jenn daniels ,nan,480
89,Winston–Salem,North Carolina,246328,229617,+7.28,132.5  ,343.2 ,1828 ,706, ﻿36.1027°N 80.2610°W﻿ ,allen joines ,utc−4 (edt),nan
90,North Las Vegas,Nevada,245949,216961,+13.36,98.0  ,253.8 ,2436 ,941, ﻿36.2857°N 115.0939°W﻿ ,nan,nan,nan
91,Norfolk,Virginia,244076,242803,+0.52,53.3  ,138.0 ,4599 ,1776, ﻿36.9230°N 76.2446°W﻿ ,kenny alexander ,utc−4 (edt),757
92,Chesapeake,Virginia,242634,222209,+9.19,338.5  ,876.7 ,703 ,271, ﻿36.6794°N 76.3018°W﻿ ,"dr. richard w. ""rick"" west ",utc−4 (edt),757
93,Garland,Texas,242507,226876,+6.89,57.0  ,147.6 ,4122 ,1592, ﻿32.9098°N 96.6303°W﻿ ,nan,utc-5 (cdt),214 972 469
94,Irving,Texas,242242,216290,+12.00,67.0  ,173.5 ,3557 ,1373, ﻿32.8577°N 96.9700°W﻿ ,nan,utc-5 (cdt),972 817 469 214
95,Hialeah,Florida,238942,224669,+6.35,21.5  ,55.7 ,10995 ,4245, ﻿25.8699°N 80.3029°W﻿ ,carlos hernández ,utc−4 (edt),305 786
96,Fremont,California,237807,214089,+11.08,77.5  ,200.7 ,3008 ,1161, ﻿37.4945°N 121.9412°W﻿ ,nan,utc−7 (pdt),510
97,Boise,Idaho,228790,205671,+11.24,82.1  ,212.6 ,2718 ,1049, ﻿43.6002°N 116.2317°W﻿ ,dave bieter ,utc−6 (mdt),208 986
98,Richmond,Virginia,228783,204214,+12.03,59.8  ,154.9 ,3732 ,1441, ﻿37.5314°N 77.4760°W﻿ ,levar stoney ,utc-4 (edt),804
99,Baton Rouge,Louisiana,221599,229493,−3.44,85.9  ,222.5 ,2651 ,1024, ﻿30.4422°N 91.1309°W﻿ ,nan,utc−5 (cdt),225
100,Spokane,Washington,219190,208916,+4.92,68.7  ,177.9 ,3144 ,1214, ﻿47.6669°N 117.4333°W﻿ ,david condon ,utc−7 (pdt),509
101,Des Moines,Iowa,216853,203433,+6.60,88.9  ,230.2 ,2424 ,936, ﻿41.5726°N 93.6102°W﻿ ,frank cownie ,utc-5 (cdt),515
